video_id,start_ms,end_ms,center_ms,guard_height
testvideo,0,250,125,-0.035245425999164574
testvideo,40,290,165,-0.039919048547744744
testvideo,80,330,205,-0.04155301834855762
testvideo,120,370,245,-0.042666930705308914
testvideo,160,410,285,-0.04446971975266935
testvideo,200,450,325,-0.04775614291429521
testvideo,240,490,365,-0.05684508809021542
testvideo,280,530,405,-0.05904971063137055
testvideo,320,570,445,-0.060784231871366494
testvideo,360,610,485,-0.062290327623486526
testvideo,400,650,525,-0.06589820794761181
testvideo,440,690,565,-0.06748150289058684
testvideo,480,730,605,-0.06863559995378767
testvideo,520,770,645,-0.07121496966906957
testvideo,560,810,685,-0.07695924118161201
testvideo,600,850,725,-0.0806971900165081
testvideo,640,890,765,-0.08565103156226021
testvideo,680,930,805,-0.08725673598902568
testvideo,720,970,845,-0.08832259689058576
testvideo,760,1010,885,-0.08900829218327999
testvideo,800,1050,925,-0.08896098658442497
testvideo,840,1090,965,-0.08732691832951138
testvideo,880,1130,1005,-0.08437085151672366
testvideo,920,1170,1045,-0.08043081206934796
testvideo,960,1210,1085,-0.07234313711524012
testvideo,1000,1250,1125,-0.06674811430275443
testvideo,1040,1290,1165,-0.060875883325934445
testvideo,1080,1330,1205,-0.05206085528646202
testvideo,1120,1370,1245,-0.04748624563217168
testvideo,1160,1410,1285,-0.04323431849479678
testvideo,1200,1450,1325,-0.0429838635027409
testvideo,1240,1490,1365,-0.04396585561335091
testvideo,1280,1530,1405,-0.04459585888045177
testvideo,1320,1570,1445,-0.04465096550328392
testvideo,1360,1610,1485,-0.04527311213314535
testvideo,1400,1650,1525,-0.04648805968463422
testvideo,1440,1690,1565,-0.04853252880275251
testvideo,1480,1730,1605,-0.048023262194224765
testvideo,1520,1770,1645,-0.05005423298903876
testvideo,1560,1810,1685,-0.052072086504527514
testvideo,1600,1850,1725,-0.056219955906271935
testvideo,1640,1890,1765,-0.059410497546195984
testvideo,1680,1930,1805,-0.0634929495198386
testvideo,1720,1970,1845,-0.06516998154776436
testvideo,1760,2010,1885,-0.0665919269834246
testvideo,1800,2050,1925,-0.06909264996647833
testvideo,1840,2090,1965,-0.07055611349642277
testvideo,1880,2130,2005,-0.070846574647086
testvideo,1920,2170,2045,-0.07056483839239393
testvideo,1960,2210,2085,-0.07062921992370061
testvideo,2000,2250,2125,-0.07232876121997833
testvideo,2040,2290,2165,-0.07292635925114155
testvideo,2080,2330,2205,-0.07330506481230259
testvideo,2120,2370,2245,-0.07425222652299066
testvideo,2160,2410,2285,-0.07461628104959218
testvideo,2200,2450,2325,-0.07366120442748073
testvideo,2240,2490,2365,-0.07255196571350099
testvideo,2280,2530,2405,-0.07038310356438163
testvideo,2320,2570,2445,-0.0669893813984735
testvideo,2360,2610,2485,-0.06412088658128469
testvideo,2400,2650,2525,-0.05773196928203107
testvideo,2440,2690,2565,-0.053358126431703574
testvideo,2480,2730,2605,-0.050217205658555045
testvideo,2520,2770,2645,-0.044253262025969374
testvideo,2560,2810,2685,-0.04135695312704359
testvideo,2600,2850,2725,-0.04072217004639763
