video_id,start_ms,end_ms,start_frame,end_frame,window_count
testvideo,280,570,10,18,2
testvideo,1000,1250,31,38,1
testvideo,2400,2690,73,81,2
testvideo,2920,4210,89,126,19
testvideo,5720,6130,172,183,5
testvideo,7640,7890,229,236,1
testvideo,8080,8410,242,251,3
testvideo,9400,9730,282,291,2
testvideo,10960,11330,328,338,4
testvideo,12160,12410,364,370,1
testvideo,12600,12850,377,383,1
testvideo,13400,13770,401,411,4
testvideo,14480,14730,433,440,1
testvideo,14800,15290,443,456,7
testvideo,16440,16730,491,499,2
testvideo,16880,17930,505,535,12
testvideo,18280,18530,546,553,1
testvideo,20760,21050,620,628,2
testvideo,21160,21650,632,646,5
testvideo,21800,22250,651,664,6
testvideo,22840,23490,682,701,7
testvideo,24280,24530,725,732,1
testvideo,24680,25090,737,748,5
testvideo,25360,25650,757,765,2
testvideo,26800,27170,800,810,4
testvideo,27320,27610,816,823,2
testvideo,27920,28290,834,844,4
testvideo,28440,28690,849,856,1
testvideo,30400,30730,907,916,3
testvideo,32600,32890,973,981,2
testvideo,33520,34130,1000,1018,10
testvideo,34240,34610,1022,1032,4
testvideo,34720,35090,1036,1046,4
testvideo,37000,37410,1104,1115,3
testvideo,37600,37930,1122,1131,3
testvideo,38120,38410,1138,1145,2
testvideo,38440,38730,1147,1155,2
testvideo,40320,41130,1203,1226,7
testvideo,41400,41810,1235,1247,4
testvideo,42000,42290,1253,1261,2
testvideo,42720,42970,1275,1281,1
testvideo,45200,45650,1349,1361,5
testvideo,45680,46090,1363,1374,5
testvideo,48360,48890,1443,1458,7
testvideo,48920,49570,1459,1478,7
testvideo,51600,52130,1539,1554,8
testvideo,52240,52970,1558,1579,9
testvideo,53000,53330,1581,1590,3
testvideo,53600,53850,1599,1605,1
testvideo,54880,55170,1637,1645,2
testvideo,58240,58850,1737,1754,8
testvideo,59120,59530,1763,1775,2
testvideo,59680,60050,1780,1790,4
testvideo,60600,60930,1807,1816,3
testvideo,61960,62290,1848,1857,3
testvideo,62320,63170,1859,1883,12
testvideo,63400,63730,1891,1900,3
testvideo,65360,66050,1949,1969,7
testvideo,66160,66650,1973,1987,7
testvideo,66680,67090,1989,2000,5
testvideo,67200,67490,2004,2012,2
testvideo,69960,70210,2086,2093,1
testvideo,70480,70850,2102,2112,4
testvideo,71240,71530,2125,2132,2
testvideo,72720,73090,2169,2179,4
testvideo,73320,73970,2187,2205,11
testvideo,75320,75770,2246,2259,6
testvideo,76040,76570,2268,2282,7
testvideo,76760,77050,2289,2297,2
testvideo,78440,79810,2339,2379,16
testvideo,81120,81690,2419,2435,4
testvideo,82720,83010,2467,2474,2
testvideo,83760,84210,2498,2510,6
testvideo,86280,86730,2573,2585,5
testvideo,86920,87690,2592,2614,9
testvideo,87880,88130,2620,2627,1
testvideo,88200,88530,2630,2639,3
testvideo,89440,90450,2667,2696,11
testvideo,90720,91050,2705,2714,3
testvideo,93000,93490,2773,2787,5
testvideo,93760,94650,2796,2821,11
testvideo,97480,97730,2907,2913,1
testvideo,97800,98170,2916,2926,4
testvideo,100720,101010,3003,3011,2
testvideo,101040,101450,3013,3024,5
testvideo,101720,102090,3033,3043,4
testvideo,104320,104770,3110,3123,6
testvideo,107280,107610,3199,3208,3
testvideo,108680,109050,3240,3250,4
testvideo,110240,110530,3287,3295,2
testvideo,111040,111770,3311,3331,8
testvideo,112080,112490,3342,3353,5
testvideo,114000,114330,3399,3408,3
testvideo,114600,115250,3417,3435,10
testvideo,115920,116730,3456,3479,8
testvideo,116880,117250,3485,3495,4
testvideo,117400,118010,3500,3517,4
testvideo,118520,118850,3534,3542,3
testvideo,119360,119770,3559,3570,5
