video_id,start_frame,end_frame
v_BoxingPunchingBag_g01_c01,15,21
v_BoxingPunchingBag_g01_c01,22,26
v_BoxingPunchingBag_g01_c01,27,31
v_BoxingPunchingBag_g01_c01,62,68
v_BoxingPunchingBag_g01_c01,111,115
v_BoxingPunchingBag_g01_c01,117,120
v_BoxingPunchingBag_g01_c01,120,126
v_BoxingPunchingBag_g01_c02,72,82
v_BoxingPunchingBag_g01_c02,121,129
v_BoxingPunchingBag_g01_c02,130,132
v_BoxingPunchingBag_g01_c02,134,142
v_BoxingPunchingBag_g01_c03,8,14
v_BoxingPunchingBag_g01_c03,15,18
v_BoxingPunchingBag_g01_c03,104,109
v_BoxingPunchingBag_g01_c03,110,119
v_BoxingPunchingBag_g01_c04,3,7
v_BoxingPunchingBag_g01_c04,38,46
v_BoxingPunchingBag_g01_c04,47,55
v_BoxingPunchingBag_g01_c04,85,92
v_BoxingPunchingBag_g01_c04,93,97
v_BoxingPunchingBag_g01_c04,98,102
v_BoxingPunchingBag_g01_c04,114,117
v_BoxingPunchingBag_g01_c04,118,122
v_BoxingPunchingBag_g01_c05,18,21
v_BoxingPunchingBag_g01_c05,22,26
v_BoxingPunchingBag_g01_c05,46,51
v_BoxingPunchingBag_g01_c05,64,68
v_BoxingPunchingBag_g01_c05,73,77
v_BoxingPunchingBag_g01_c05,86,90
v_BoxingPunchingBag_g01_c05,91,95
v_BoxingPunchingBag_g01_c05,132,136
v_BoxingPunchingBag_g01_c05,144,150
v_BoxingPunchingBag_g01_c05,151,154
v_BoxingPunchingBag_g01_c05,156,160
v_BoxingPunchingBag_g01_c05,165,169
v_BoxingPunchingBag_g01_c06,22,27
v_BoxingPunchingBag_g01_c06,70,76
v_BoxingPunchingBag_g01_c06,80,86
v_BoxingPunchingBag_g01_c07,38,42
v_BoxingPunchingBag_g01_c07,43,46
v_BoxingPunchingBag_g01_c07,47,54
v_BoxingPunchingBag_g01_c07,79,83
v_BoxingPunchingBag_g01_c07,90,96
v_BoxingPunchingBag_g01_c07,142,150
v_BoxingPunchingBag_g02_c01,11,15
v_BoxingPunchingBag_g02_c01,17,21
v_BoxingPunchingBag_g02_c01,39,43
v_BoxingPunchingBag_g02_c01,52,56
v_BoxingPunchingBag_g02_c01,63,67
v_BoxingPunchingBag_g02_c01,69,74
v_BoxingPunchingBag_g02_c01,84,88
v_BoxingPunchingBag_g02_c01,94,99
v_BoxingPunchingBag_g02_c02,1,3
v_BoxingPunchingBag_g02_c02,4,9
v_BoxingPunchingBag_g02_c02,10,17
v_BoxingPunchingBag_g02_c02,20,26
v_BoxingPunchingBag_g02_c02,50,54
v_BoxingPunchingBag_g02_c02,68,74
v_BoxingPunchingBag_g02_c02,82,88
v_BoxingPunchingBag_g02_c02,90,96
v_BoxingPunchingBag_g02_c02,124,130
v_BoxingPunchingBag_g02_c02,140,144
v_BoxingPunchingBag_g02_c02,148,152
v_BoxingPunchingBag_g02_c02,153,156
v_BoxingPunchingBag_g02_c02,158,163
v_BoxingPunchingBag_g02_c02,170,175
v_BoxingPunchingBag_g02_c02,185,189
v_BoxingPunchingBag_g02_c02,196,200
v_BoxingPunchingBag_g02_c02,214,222
v_BoxingPunchingBag_g02_c02,257,262
v_BoxingPunchingBag_g02_c02,265,270
v_BoxingPunchingBag_g02_c02,271,276
v_BoxingPunchingBag_g02_c02,277,281
v_BoxingPunchingBag_g02_c03,1,7
v_BoxingPunchingBag_g02_c03,8,12
v_BoxingPunchingBag_g02_c03,22,26
v_BoxingPunchingBag_g02_c03,45,49
v_BoxingPunchingBag_g02_c03,50,53
v_BoxingPunchingBag_g02_c03,54,58
v_BoxingPunchingBag_g02_c03,59,65
v_BoxingPunchingBag_g02_c03,78,83
v_BoxingPunchingBag_g02_c03,90,94
